id,section,type,severity,remediation_risk,title,status,affected_area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260705-003917-S1-A1,1,A,Medium,Low,"Pending in-scope docs IPD (assess-documentation) sits in .agents/plans/pending/",identified,plans/docs,".agents/plans/pending/20260705-assess-documentation.md Status: PENDING","Shipping with a known-inaccurate README (dead config key) while a prepared fix sits pending","Fold the docs-IPD fixes into this review's Section 4/7",no,"README.md ARCHITECTURE.md CHANGELOG.md",".agents/plans/pending/20260705-assess-documentation.md",Section 8 WARNING + fix in S4/S7
20260705-003917-S1-P1,1,P,High,Low,"Version still 1.0.4 (already on PyPI) with a large [Unreleased] changelog set",identified,packaging,"ocman.py:191 __version__=1.0.4; pyproject version=1.0.4; CHANGELOG [Unreleased] present; 1.0.4 tagged/published","Re-publishing without a bump would collide with the published 1.0.4 on PyPI","Bump version + finalize CHANGELOG at release (Section 6 plan, Section 9 execute)",yes,"ocman.py pyproject.toml CHANGELOG.md",git tag v1.0.4 exists,Section 6 decides target version; user bumps at release
20260705-003917-S2-S1,2,S,Low,Low,"Secrets/PII scan: 4432 candidates, all triaged as false positives",completed,repo,"scan_secrets.py tree+history; medium hits are timestamp-strings (20260101-120000) flagged as credit-card + model IDs (its_direct/pt1-qwen3-32b-us) flagged as high-entropy; us-phone/ipv4 in example prose","No real secret or PII committed; scan is clean","No action; keep gitleaks/detect-secrets in CI (S6)",no,secrets-scan.json,"gitleaks+detect-secrets ran alongside built-in",No action
20260705-003917-S2-M1,2,M,Low,Medium-High,"ocman.py monolith continues to grow (~8.7k lines; +879 in delta)",identified,ocman.py,"single-module CLI by deliberate KISS design (ARCHITECTURE 'monolith is a deliberate trade-off'); delta added 4 feature areas + confirm seam","Larger surface to navigate; but intentional per stated principle","No split now (would be a broad refactor); revisit only if a natural seam emerges",no,ocman.py,n/a,"Defer per Complexity axis; carry-in from prior S2-M1"
20260705-003917-S3-T1,3,T,Low,Low,"No direct unit test for _per_project_disk_usage (per-project disk breakdown)",identified,tests,"grep: no test references _per_project_disk_usage; dir_usage + info Backups section are tested","The --by-project/disk output path is exercised only end-to-end, not unit-verified for correct per-project bytes/counts","Add a small test with a temp DB + fake session-diff files asserting rows/bytes",no,"tests/test_ocman.py ocman.py:6851",pytest,Add in S7
20260705-003917-S3-T2,3,T,Low,Low,"No direct unit test for confirm_destructive / _project_for_cwd",identified,tests,"confirm_destructive behavior covered indirectly via cli_clean_backups cancel/dry-run tests; _project_for_cwd untested","Seam and cwd->project mapping lack focused tests; low risk (simple, fail-soft)","Optionally add focused unit tests for confirm_destructive (yes/dry_run/assume_yes/EOF) and _project_for_cwd",no,"ocman.py:6586,4710",pytest,Add in S7 (low priority)
20260705-003917-S3-R1,3,R,Low,Low,"Bare pytest can resolve an installed ocman instead of local source",identified,tests,"README documents PYTHONPATH=. ; CI sets PYTHONPATH=.; local env has editable install (mitigated)","Fresh clone with non-editable install could test wrong package","Already documented; optional conftest/pytest.ini to pin rootdir",no,"README.md .github/workflows/ci.yml",n/a,"Carry-in; keep documented, optional pytest.ini in S7"
20260705-003917-S4-D1,4,D,High,Low,"README config template documents a nonexistent key default_model (real: default_compaction_model, default \"\")",identified,README.md,"README.md:228 default_model=\"uri/its_direct/pt1-qwen3-32b-us\" vs ocman.py:264 default_compaction_model=\"\"","A user copying the template sets a dead key and misbelieves a default model is configured","Rename to default_compaction_model, value \"\", match in-code comment",no,README.md,"diff README template keys vs DEFAULT_CONFIG",Fix in S7
20260705-003917-S4-D2,4,D,Medium,Low,"README Argument Reference omits ~13 real flags",identified,README.md,"README.md:162-205 lacks -lp/-ls/-P/-A/-D/-H/-T, -V/--version, -ir/-it/-oc, --show-compaction-prompt, --show-logs (all in argparse)","Reader relying on the table cannot discover session-browsing/version flags","Add the missing rows (skip suppressed -m)",no,README.md,"cross-check vs add_argument",Fix in S7
20260705-003917-S4-D3,4,D,Low,Low,"ARCHITECTURE understates recognized commands; README preprocessing list omits disk/du + delete project",identified,ARCHITECTURE.md/README.md,"ARCHITECTURE.md:20 'info/help/ui/gui' only; preprocess_argv also rewrites disk/du, delete project, list*, show logs (ocman.py:3948-4033)","Reader may think only 4 commands exist",Add a sentence + list entries,no,"ARCHITECTURE.md README.md","map vs preprocess_argv",Fix in S7
20260705-003917-S4-D4,4,D,Low,Low,"ARCHITECTURE ocman_tui/ layout omits shipped css/ subdir",identified,ARCHITECTURE.md,"ARCHITECTURE.md:21-23 lists app.py/core.py/widgets/ but not css/","Minor completeness gap",Add css/ clause,no,ARCHITECTURE.md,ls ocman_tui/css,Fix in S7
20260705-003917-S4-U1,4,U,Medium,Low,"README does not state the core value proposition (actually reclaims DB+filesystem space via VACUUM+file delete)",identified,README.md,"Reclaim verified: db_run_cleanup/delete run VACUUM (ocman.py:5031-5047) + delete session-diff files + report db/file space saved; competitor ocgc reportedly leaves ~95% behind (user-stated intent)","New users/stakeholders don't see why ocman beats naive cleanup; headline benefit is buried","Add a concise, truthful 'actually reclaims space' point (VACUUM + file deletion + reported savings); do NOT name/denigrate a competitor in shipped docs unless user confirms",no,README.md,"verified against VACUUM+delete paths",Fix in S7 (positioning, verified)
20260705-003917-S4-KD1,4,KD,Low,Low,"Cold-start orientation adequate; decision rationale is thin but improving",identified,docs,"README(intent)+ARCHITECTURE(principles/architecture/patterns)+CHANGELOG+.agents/plans/executed IPDs (decisions)","A no-context engineer can orient; decision 'why' is spread across IPDs not a single log","No new file needed (respect existing convention); optionally note the IPD dir as the decisions home",no,"ARCHITECTURE.md","read docs",No blocking action
